"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000070","mitotic sister chromatid segregation","31/511","187/13739",0.165775401069519,4.45711983423506,9.35532013600625,2.08913054284269e-12,3.75739747596103e-09,3.75739747596103e-09,"KIF2C/INCENP/TPX2/ZWINT/CDCA8/NCAPH/NCAPG2/KIF11/CCNB1/UBE2C/ANAPC11/CDT1/RCC1/KIF4A/KIF23/KIFC1/CDC20/MAD2L1/PRICKLE1/PLK1/DLGAP5/KIF18B/PSRC1/KIF14/AURKB/CENPA/PRC1/ESPL1/NCAPD2/NUSAP1/CENPF",31
"GO:0000280","nuclear division","43/511","345/13739",0.12463768115942,3.35107064862872,8.69250987802342,2.74462927389411e-12,3.75739747596103e-09,3.75739747596103e-09,"KIF2C/INCENP/TPX2/ZWINT/CDCA8/PKMYT1/RAD54L/MKI67/NCAPH/NCAPG2/KIF11/TDRKH/CCNB1/UBE2C/ANAPC11/PTTG1/CDT1/RCC1/KIF4A/MYBL1/AURKA/KIF23/RAD51/KIFC1/PDXP/CDC20/TOP2A/UBE2S/MAD2L1/PRICKLE1/PLK1/DLGAP5/KIF18B/PSRC1/KIF14/ANLN/AURKB/CENPA/PRC1/ESPL1/NCAPD2/NUSAP1/CENPF",43
"GO:0098813","nuclear chromosome segregation","36/511","267/13739",0.134831460674157,3.62514567162866,8.5136955230824,1.82090228440416e-11,1.66187681823287e-08,1.66187681823287e-08,"KIF2C/INCENP/TPX2/ZWINT/DSN1/CDCA8/NCAPH/NCAPG2/KIF11/CCNB1/UBE2C/ANAPC11/PTTG1/CDT1/RCC1/KIF4A/KIF23/KIFC1/CDC20/TOP2A/MAD2L1/PRICKLE1/PLK1/DLGAP5/KIF18B/PSRC1/KIF14/AURKB/CENPA/CDC6/TACC3/PRC1/ESPL1/NCAPD2/NUSAP1/CENPF",36
"GO:0044772","mitotic cell cycle phase transition","42/511","381/13739",0.110236220472441,2.96386581814259,7.64062160863497,2.60836925363346e-10,2.04049000469955e-07,2.04049000469955e-07,"MUC1/DTL/INCENP/ZWINT/CDCA8/CDKN2A/PKMYT1/EIF4EBP1/CDKN3/CCNA2/CCNB1/UBE2C/ANAPC11/RCC1/FOXM1/TICRR/CCNE1/PSMA7/ORC1/AURKA/RRM2/CDC20/UBE2S/UBD/MAD2L1/PLK1/MELK/DLGAP5/KIF14/ANLN/AURKB/CDC6/TACC3/E2F1/ESPL1/CCNB2/INHBA/CENPF/PSMB4/CDK6/EGFR/CCNO",42
"GO:0007059","chromosome segregation","40/511","359/13739",0.11142061281337,2.99570997934031,7.53081032754207,5.15651127162448e-10,3.52963196542696e-07,3.52963196542696e-07,"KIF2C/INCENP/TPX2/ZWINT/DSN1/CDCA8/MKI67/NCAPH/NCAPG2/KIF11/CENPM/CCNB1/UBE2C/ANAPC11/PTTG1/CDT1/RCC1/KIF4A/KIF23/KIFC1/CDC20/TOP2A/MAD2L1/PRICKLE1/PLK1/SAC3D1/DLGAP5/HJURP/KIF18B/PSRC1/KIF14/AURKB/CENPA/CDC6/TACC3/PRC1/ESPL1/NCAPD2/NUSAP1/CENPF",40
"GO:0051276","chromosome organization","47/511","478/13739",0.098326359832636,2.64365138501093,7.18887006055755,1.03044316060347e-09,6.26967416384958e-07,6.26967416384958e-07,"OIP5/KIF2C/INCENP/TPX2/ZWINT/RECQL4/CDCA8/NCAPH/NCAPG2/KIF11/PARP1/SMG5/CCNB1/UBE2C/ANAPC11/PTTG1/CDT1/RCC1/PCNA/KIF4A/KIF23/RAD51/KIFC1/DSCC1/CDC20/TOP2A/SLX1A/MAD2L1/PRICKLE1/PLK1/DDX11/DLGAP5/HJURP/KIF18B/PSRC1/KIF14/AURKB/CENPA/CDC6/TACC3/PRC1/ESPL1/NCAPD2/NUSAP1/CENPF/CDCA5/CTPS1",47
"GO:1902969","mitotic DNA replication","9/511","16/13739",0.5625,15.1236545988258,11.1098363245392,1.15174646646667e-09,6.3069636503715e-07,6.3069636503715e-07,"MCM6/CDT1/PCNA/MCM4/RAD51/MCM2/MCM3/TK1/GINS1",9
"GO:0030174","regulation of DNA-templated DNA replication initiation","9/511","18/13739",0.5,13.4432485322896,10.3825076276076,4.57874085151763e-09,2.08943207524254e-06,2.08943207524254e-06,"DTL/MCM6/MCM7/CDT1/TICRR/MCM4/MCM2/MCM5/MCM3",9
"GO:1905820","positive regulation of chromosome separation","11/511","31/13739",0.354838709677419,9.54036992614103,9.35611593280404,7.29640699841972e-09,3.07347113256511e-06,3.07347113256511e-06,"INCENP/CDCA8/NCAPH/NCAPG2/UBE2C/ANAPC11/CDC20/PLK1/DLGAP5/AURKB/ESPL1",11
"GO:1902850","microtubule cytoskeleton organization involved in mitosis","22/511","147/13739",0.149659863945578,4.02382949265812,7.2443495253098,2.44087855827386e-08,9.54732213221974e-06,9.54732213221974e-06,"INCENP/TPX2/CDCA8/KIF11/CCNB1/RCC1/SAPCD2/KIF4A/AURKA/KIF23/KIFC1/PRICKLE1/PLK1/DLGAP5/STMN1/PSRC1/AURKB/CENPA/TACC3/PRC1/ESPL1/NUSAP1",22
"GO:0007088","regulation of mitotic nuclear division","19/511","112/13739",0.169642857142857,4.56110218059827,7.43735362830029,2.79399602551913e-08,1.01999481571618e-05,1.01999481571618e-05,"INCENP/ZWINT/CDCA8/PKMYT1/MKI67/CCNB1/UBE2C/ANAPC11/RCC1/AURKA/PDXP/CDC20/MAD2L1/PLK1/DLGAP5/AURKB/ESPL1/NUSAP1/CENPF",19
